trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30
2.684068502397029e+62,2.0885977120703535e+64,1.6474540406592693e+57,1.3742592665580574e+60,1.8539028793993054e+56,1.1429114437172376e+62,3.356908308489273e+60,2.6468381395037975e+56,4.803039425994691e+56,5.4432138768270606e+60,8.78459666994819e+56,8.585956689214764e+56,2.214343008456871e+59,7.926333920739936e+62,3.938434737252378e+58,9.522401446056264e+53,8.198656443495241e+60,3.275629835968324e+62,2.0381930712841877e+55,1.4490810100410212e+58,5.914855449147124e+53,1.843018085285524e+57,3.5040987587289526e+57,1.1392594622758182e+58,2.2004148078746475e+56,4.2026469638176286e+60,5.708492222311365e+62,5.577347741053938e+55,1.904586387335563e+59,9.082420946044337e+62
5.301050145042767e+59,1.0655581041001142e+61,1.1532420023385604e+48,8.199215758965338e+55,2.4891596071911977e+55,6.2051427510343704e+60,9.276153655316253e+57,2.3868507921697944e+43,2.1684205060738662e+51,1.5162922512167518e+57,1.9144241911045038e+52,3.787285072208039e+52,1.8410254326949647e+56,4.220948092441489e+59,1.9374339030646443e+54,8.998189569311263e+45,8.04534055038478e+50,5.772980160086785e+59,1.5114433701338012e+50,2.4545964978741152e+53,2.7104568808326097e+50,1.843018085285524e+57,4.362171606660838e+52,2.0763768726123713e+53,9.579087179855387e+52,6.188943022794492e+55,6.624702898952778e+61,2.228619766846746e+53,1.8411222256407428e+50,3.1207438279038818e+56
1.5767691297794937e+54,3.5775261133752866e+56,9.947121152158223e+43,8.199215758965338e+55,1.1290314078289395e+49,1.5096499341516386e+50,1.161412743778086e+43,1.176666839166436e+31,5.15060360681972e+42,5.23047421285064e+52,4.969849867777945e+47,9.667959806642678e+49,7.601722951805504e+53,1.8695823596387307e+55,1.9681409710857548e+48,3.9063742388480104e+45,5.912998421405241e+45,6.84680603704678e+52,1.0732690689827115e+43,8.522665326167247e+47,2.8473558349129657e+45,5.7722840540684294e+54,3.7284508604728654e+44,1.4464026720852687e+46,3.89524565033234e+52,8.270988231951539e+53,4.9332465501532356e+57,3.0341575588912515e+50,4.4391601784687906e+45,1.0336444170693163e+50
8.356133013005736e+49,2.2794783230213646e+50,7.030147301345386e+41,2.919603582786702e+53,3.7728021322398967e+46,1.051782197891153e+49,2.9193666355182665e+40,4.72026426951248e+27,2.0853501483511347e+41,7.901536020827934e+47,5.388908206133318e+44,7.345114440895816e+46,2.494714895774455e+49,1.8369520459696155e+46,2.7227498346279623e+45,2.00574928195653e+35,1.1659346164368168e+42,8.101028764094469e+49,4.8450243412294366e+41,1.912657846086797e+47,2.8473558349129657e+45,3.775720118731904e+50,1.2798023481648034e+42,4.301847478839397e+45,7.822469735716282e+47,2.8253622891986183e+51,1.1617117566081132e+56,6.554483875999361e+46,9.583828445286264e+36,1.0336444170693163e+50
6.270736145168794e+44,3.9649347220768243e+45,6.825519879920163e+39,2.2699256126638618e+51,1.1644845707882707e+46,4.1906291866023976e+42,6.997762619377113e+33,1.320288192456517e+26,7.820733609051876e+37,7.566196929400781e+40,1.1553568955391063e+37,2.64933220024718e+42,6.193376968561307e+47,5.345223443007422e+39,4.0245698029220114e+37,1.9153981988096693e+35,3.2222441647823924e+40,3.145524428960326e+47,1.4036449964042514e+39,1.3593968362924729e+39,3.4907845282099586e+43,3.908479866615347e+44,2.120519821377484e+40,1.5012661089237268e+42,1.923017669076445e+41,4.957825345699486e+43,1.3820015372608265e+50,1.1060037304875692e+40,9.583828445286264e+36,1.0336444170693163e+50
1.3902506660260074e+44,7.355579380028891e+44,6.741379935613932e+28,1.373729389202598e+47,7.905234634351264e+44,5.459076265070563e+36,3.029363117722928e+27,6.458120036725317e+21,1.1233877891823553e+31,1.6414817732473227e+39,1.8327481191655805e+28,2.0278953234443622e+37,7.18917795522955e+35,1.9707182573679755e+38,6.013008009500524e+34,1.2342835567983066e+28,4.3158029513092735e+37,3.1900961687563774e+41,9.69502591592589e+28,1.7823920895724494e+38,2.165033521326341e+40,3.908479866615347e+44,2.4930614202173713e+34,1.1306667884217085e+34,1.5126801129306402e+36,8.508260407509431e+39,8.916810835106563e+47,1.7047169341096136e+35,6.505381039645142e+33,3.9209267048603486e+46
8.535163908832307e+35,7.949062993529311e+42,5.034675777631031e+28,1.2339535410114657e+38,1.3847980418511204e+35,3.4494740578105357e+31,9.266469223756584e+22,3.502392579392216e+20,6.372922928793855e+23,6.723073826141103e+35,1.2505835390073108e+25,3.7088517441799784e+31,2.018615899747374e+29,6.601236694731065e+35,2.0658272852446985e+32,1.2696854979471624e+21,1.0490406891938221e+36,3.882628506063384e+40,9.69502591592589e+28,2.4720364533247257e+32,6.125791409185975e+39,3.380300600254039e+44,2.4930614202173713e+34,4.2677178497932174e+29,6.454570191777562e+30,2.809124773357082e+30,2.8808136409711968e+44,7.226678695305637e+32,1.9610037628776116e+32,7.943551063419137e+43
3.3247141309524415e+32,5.630842027419283e+36,4.8455560731782316e+27,3.491527723391811e+35,9.404747266797981e+32,5.966553184331895e+24,6.046330812703746e+22,2.4616915780533092e+19,7.75880259209266e+20,6.072139268586074e+31,2.2219260278979277e+23,3.6089913233884025e+23,4.5494019941066173e+18,4.027655180822835e+31,3.9288854467785645e+28,1.2696854979471624e+21,2.3230760927244433e+31,1.9557078614532287e+37,1.6687912513484572e+24,2.4720364533247257e+32,1.4139287275390093e+33,7.248147329195748e+41,6.555784740103651e+32,3.212296010336684e+25,5.079772788566554e+29,1.0112625451852194e+24,3.288689769192615e+37,6.211826818179127e+20,1.8371171957505278e+25,9.613064186696369e+39
3.144628654718711e+26,2.9195510051773846e+31,1.2114963365129518e+25,2.0250010079962476e+26,3.251718572525689e+31,3.3177435350477963e+21,1.1121322871868305e+19,3.378250875188474e+18,2227970509750523.8,3.627530270507978e+26,2.367183686760608e+21,2385523387452990.0,4.5494019941066173e+18,1.2556982880932587e+25,3.555385122828255e+26,1.2671682073742829e+20,4.3516988478289754e+26,2.212906681265317e+34,5.9789500511786844e+19,1.9357568616515097e+29,3.070512539714829e+28,2.507549544599771e+39,2.0607817219732793e+28,9.462850523174405e+23,2.2697971741294167e+25,2.0252744429173197e+18,1.1251262746238667e+36,6.211826818179127e+20,1.464999204334513e+20,7.42961788918536e+37
4.216553830867553e+22,1.5864998430340326e+24,1.0390927718143458e+17,3.327764126996309e+25,2.620557618440853e+27,4.534990933597239e+16,20216406215.552067,3.3797822158609468e+16,537635443040498.9,3.855165425123476e+19,1.6417568345076883e+17,22069089150330.78,2.1479661635207786e+17,7.916204865375004e+23,7.282284138938813e+23,5.3872029709250536e+16,3.874151852297674e+26,4.2343103872197685e+29,53336687334191.37,3.8168304900336414e+23,5.665902685232034e+27,3.995223025998484e+37,6.653852938469384e+26,1.524347492768183e+23,8.063621276697917e+22,283153862680.44214,6.383444070335456e+34,7.891667903105124e+17,4426469807000224.5,1.9418877794671073e+32
1218304593263696.2,2.550115669228259e+19,1.0390927718143458e+17,1.607637182803636e+23,1.3110388673725322e+16,202536004147615.88,20216406215.552067,147570573517448.7,288790139387.18445,3.855165425123476e+19,2785237767977.5376,14760901927.928776,-373595876353.11,1.2031566791890715e+19,3.3288396469231654e+22,3713551673060480.5,2.7225828422900977e+20,7.733126026597098e+27,2223427072253.2227,1.6644605923765126e+17,1.5101694207574272e+24,1.3319490936016804e+32,8.674807351696537e+24,1.4257785597477158e+21,3.641270946405211e+20,-10574837467.27177,1.1000717126739248e+28,6856976507.963239,-680828610847.3914,1.8994541454931705e+29
1042048717125241.1,1.1101702512450944e+17,2300404556494064.0,1.63643719039685e+21,1.3110388673725322e+16,-72928353903.16846,-286424224849.5188,4156222909420.611,-2346583087.647156,529473507764.69104,1026008949413.428,-321718837845.9987,-633081880854.8912,212412465688938.3,9.660784846196257e+17,314328617565480.6,2.1923809451177124e+18,7.628276560257409e+23,169818868680.65503,6.757109089817543e+16,3.487969923128844e+20,3.084921099903959e+27,2.8865934048377504e+20,5.682946035770697e+19,8045970646045422.0,-143521881600.4116,400200097188.70935,-826584548224.8402,-680828610847.3914,5.408304896046369e+27
-250911714014.73068,73924587426.57893,563619438906897.5,9.278363531185551e+18,-18072260683.9288,-449267357740.8111,-962480153049.3473,48842482628.37788,-791864678210.0962,-2871904301.4999895,-53174892269.95762,-892271515562.2445,-896700955831.298,375134946749.3435,1417378936580381.0,138359229967334.52,42092603097599.69,1.3015029326562032e+21,-61916865596.42583,1512192989900.7656,5.114512517393122e+17,7148984524866546.0,1760786893290.941,6.330472365348541e+16,1392730523725.2292,-726931462912.4493,-780339018156.4618,-889089886602.4448,-902903629629.3673,2.3129291735399431e+24
-427118320284.6787,-109973170516.39708,87100960776.40796,-229917547190.33694,-660718989441.8484,-917884714924.9845,-962480153049.3473,-282597339614.88324,-976301964580.6819,-270946081755.0006,-447093254951.149,-1005417152118.569,-995597526068.0319,-17969097068.71728,1067478929695547.2,119678770335509.58,-270232820943.7215,3.584438953154972e+19,-503973042605.02094,-144988983014.50183,5.556220829220897e+16,-188104638896.0134,1760786893290.941,308185864684894.7,-27931486616.15263,-782338988947.1455,-780339018156.4618,-1027389340765.3496,-1054973678964.5975,7.2345875630303306e+19
-617376871893.4385,-352539115895.7052,-62112191232.17267,-229917547190.33694,-939702724160.2113,-989043147516.1833,-962480153049.3473,-432753997935.7391,-1003615592360.2672,-598985499844.5902,-630128026336.8303,-1073392268179.1176,-1057525991035.8334,-799527600328.1133,490121806553.945,999262364488.3966,-768851257261.9086,10194645328869.617,-819219547484.4886,-653768304150.9777,2459219220821950.0,-941351602370.2902,-480022779975.02106,33267120099117.273,-959792856443.8475,-912021518374.6163,-987230869498.9348,-1052798231750.9578,-1062740431283.5377,9.006406200661355e+16
-763986679689.773,-460607302325.0149,-208469388676.15628,-263741072924.5105,-1025709394414.6256,-1030835498275.2188,-1002756360876.2933,-771650870226.2867,-1053980183859.7847,-772875157788.6619,-835962356980.6709,-1081176637660.2034,-1095098885921.652,-799527600328.1133,-502592219774.0531,-118405525010.71971,-992458140825.1415,-554858987100.5405,-992816721527.5657,-793696217870.3176,-603404733609.7233,-1055579740921.1685,-841777440136.6553,908686415904.5771,-959792856443.8475,-957461992067.1393,-1059235179294.015,-1082322922672.9912,-1082739649626.3694,4373103278144060.0
-980753060296.1117,-600189602058.0405,-552447664136.8875,-392653546458.50256,-1046910403490.2563,-1075404796702.1453,-1002756360876.2933,-913818626218.3875,-1074556710361.8394,-932339577844.8389,-941929336221.4818,-1089456911002.0769,-1097553800081.6233,-972247787341.1654,-731856810076.117,-514123731773.9183,-1023192295568.0898,-554858987100.5405,-1020330104211.7723,-931975524463.2327,-692712597493.7924,-1072581323012.1748,-1040890892475.5048,-626971705883.431,-1032849076511.9915,-1045510502860.9255,-1079373085058.8032,-1091594503315.4215,-1095509208702.2468,-23566941118.666058
-1080727176950.7825,-687327677474.9359,-886046350685.4839,-666603752266.6204,-1067256151710.8285,-1084535292312.4784,-1002756360876.2933,-1052621792127.6605,-1089933291146.2899,-996820372507.9197,-1032705032889.6194,-1094241563401.3307,-1098623783952.6571,-1013596818570.0302,-781838869255.8068,-926428114084.5156,-1078198671564.15,-615023924022.3442,-1056236051143.7594,-1015969458774.8608,-1055131582164.5657,-1087357937761.0941,-1068055202057.7354,-799344973338.1982,-1052567258297.0248,-1070368327266.0951,-1082971855693.2489,-1095877411661.6241,-1096266656617.7018,-556107481969.6964
-1080727176950.7825,-919720937600.8379,-999385753679.3607,-908267109911.8508,-1086493450379.5881,-1088290120649.6288,-1026013420502.6432,-1070350990105.2911,-1095884570923.2251,-1086935111553.1708,-1052767542425.5564,-1095330676941.9117,-1099386981047.887,-1083013353606.0789,-965073258308.4202,-1037399428663.5564,-1087987185006.6708,-831052665116.4469,-1070277557312.4495,-1057069061165.4176,-1055131582164.5657,-1094827217497.4146,-1088749940403.4808,-934335304357.2891,-1084054575285.8732,-1085683719498.364,-1094785873238.5082,-1097039500441.0746,-1099055399147.9346,-853612722596.6498
-1090841629461.8206,-995484325346.9303,-1078151893035.3081,-1001690719015.0824,-1092413742105.2351,-1094768699310.8588,-1043711649812.5415,-1081330399918.3325,-1097291495135.5919,-1093191963955.8866,-1072496281423.8522,-1097192575645.9521,-1099386981047.887,-1086122785955.455,-1023593749627.0367,-1053980269463.8949,-1095863316640.3662,-852643899922.3792,-1085570786116.4723,-1085212707399.441,-1074007753924.5032,-1096991652262.5511,-1093284492493.4575,-1013135080448.4095,-1089829312195.4331,-1095073346752.3818,-1095901746122.7124,-1098788719226.39,-1099055399147.9346,-945438104076.4841
