trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30
3.607512162954559e+58,2.4146522611961996e+49,5.572014082184432e+56,1.6215707442217185e+57,2.788942997123055e+59,4.617971540909872e+63,1.588598693227776e+54,1.2593881482860629e+53,4.341905628128148e+60,3.366130544028681e+57,1.5519880425665292e+59,5.1935919649874166e+60,3.542570646609902e+61,5.338910737636677e+52,1.4734204051740626e+56,1.1852067084845056e+58,3.408962207191648e+57,6.930484621669328e+60,2.098912222968812e+54,9.86234827601185e+55,2.4290601102512772e+57,7.301730973455354e+58,2.927181477759681e+53,1.5594967378570197e+52,1.0207772497138188e+61,3.937171018091868e+63,1.000926512305488e+56,4.1293054469848427e+61,3.615905501015008e+55,3.37606640288027e+62
1.9090172007016352e+53,1.1186576974429969e+49,2.0947705748092468e+55,1.3543531987057648e+52,9.867059024987046e+54,7.861548288203259e+61,1.9933371003857882e+51,8.281271713602039e+51,1.691688465843811e+57,3.7030682162015624e+46,2.0634141958775827e+53,1.378012464646503e+54,1.1525637225922643e+56,5.338910737636677e+52,2.9141868080195116e+53,4.7548225151814e+55,3.408962207191648e+57,7.408275407382397e+57,6.068983359616736e+51,5.153169888824595e+55,1.5820939816121109e+55,9.323822402082838e+56,5.059715797177235e+49,2.6203518897195634e+50,2.30771182973588e+57,2.223445150041579e+54,1.267330707188547e+48,4.3784712524826045e+58,3.422055882284035e+49,1.4087328805774549e+59
1.772215706867557e+45,5.186450932527332e+44,1.808878007196719e+54,5.044009681204254e+47,3.09852582545331e+48,1.8258065704402393e+53,2.5581584110654275e+46,1.670238645384724e+46,1.990881028901123e+50,2.0228777269501432e+45,5.306644090825173e+48,8.321349187788426e+50,4.8232740465034636e+48,1.1510185249351757e+47,3.444528481044112e+50,8.79654929097692e+50,2.8332173832704494e+53,3.2170956217480156e+51,1.3684369390685708e+45,8.837100335537838e+53,1.7598710183362567e+47,9.323822402082838e+56,8.434001903719664e+36,3.875450966621086e+42,3.0987267074805666e+48,1.9797247539270274e+54,7.361948500152234e+43,2.186845039945726e+44,2.2469111384399072e+44,9.682852347276707e+52
2.165346909516193e+40,1.6298165996057297e+42,2.415937761953294e+47,1.785077713861426e+44,2.107986769726733e+48,2.005216796716053e+52,2.2662509207737643e+42,3.169731518788141e+44,3.5282496927867687e+37,2.4403349112763584e+44,2.8415786214577486e+44,2.0693486065404237e+45,1.2440273727542716e+48,6.656192861935994e+46,3.589794731317814e+48,1.81367942111438e+42,1.3834081555507722e+52,9.12381648096993e+45,4.299682292670577e+39,1.686479768305467e+53,1.0276423219742626e+39,8.373384013434801e+53,8.434001903719664e+36,9.873433203965356e+41,1.2307670591885846e+45,2.734133793681658e+46,3.109118498516252e+40,2.186845039945726e+44,1.9823094143022954e+39,2.0701953441866873e+45
1.1250866466372071e+36,3.9693678448595114e+39,1.8462119839457665e+43,1.0010101944407078e+35,4.1551327046987356e+42,1.6093115300925136e+51,8.381729282630091e+39,2.8208808287845446e+39,3.5282496927867687e+37,2.6441217041027597e+41,9.167458863530466e+41,7.086461824793736e+34,1.9137635905374034e+43,7.109052530022728e+38,1.0409605722278214e+46,7.360541667222397e+34,9.903304333170227e+45,9.438226378148187e+38,2.4302814959160102e+36,2.0857308924772473e+52,8.427982211822495e+36,1.1974620578048905e+52,2.1168299452858606e+34,5.22525532195436e+39,2.146547342312245e+32,7.821450517997619e+42,3.3343971093173514e+37,2.6367193013665425e+33,1.0920309566160538e+36,3.731474081295806e+39
1.35868213082228e+32,3.778967577372734e+38,3.353169272591806e+35,1.4028707544995575e+32,7.123451086047392e+39,1.3412534881042395e+49,1.2724132400608118e+35,5.923216759500776e+35,2.8151530207813375e+26,2.4333540381809224e+37,4.773195415656744e+40,7.086461824793736e+34,1.5378318808712345e+33,4.282398355851747e+37,4.476046362277034e+42,6.783376430308967e+32,6.30935529372503e+34,1.7816084576115953e+37,2.4302814959160102e+36,2.4173045081226594e+50,1.2446066575349713e+27,1.2284061671512267e+49,6.330709710506914e+30,4.142530392408055e+33,2.146547342312245e+32,5.101777654909536e+37,3.870221113634355e+36,2.6367193013665425e+33,5.364553323429949e+16,6.800083984191456e+32
1.3010969848566428e+29,6.152611890834037e+37,4.490532879221057e+29,5.296719713583686e+25,1.1419234276796916e+38,3.712880422418501e+40,7.183234972266537e+31,5.796818911661108e+32,1.5175357124538828e+22,1.476075927722615e+35,1.5076402872846045e+35,6.307029658573163e+33,1.5378318808712345e+33,1.7535821494839532e+27,3.243946389321407e+35,4.861230995536096e+27,6.30935529372503e+34,5.4919605759805775e+32,1.6382034318452087e+34,1.6086519864898197e+46,1.4047411246113083e+25,2.8900208261779284e+41,2.4770308476151824e+27,3.756557031673426e+30,6.624409175576674e+29,9.3293067067111e+33,2.399811141992535e+34,7.5510580620187495e+28,5.364553323429949e+16,4.081162657534379e+22
5.325755177270018e+26,2.013468503713573e+32,2.7390724961940505e+29,2.817329079658999e+23,1.1764915082585222e+26,7.913850585757016e+37,6.033963702572474e+29,4.7597352702402244e+30,2.367275436778173e+18,9.86087236600493e+34,2.4250843650251884e+30,8.258801251623742e+27,5.551773777295502e+20,3.092552803056924e+25,5.452031730895121e+31,2.1722684592061074e+22,4.684809187665672e+33,1.0187532044367489e+32,1.4991353840564893e+29,4.628142775715357e+43,3.1944924419819955e+17,2.8900208261779284e+41,3.181534198224449e+24,1.0122359339274751e+26,1.2593034565034162e+25,1.9813410180769437e+33,2.121659274217303e+30,3.43240761835781e+27,236132422453773.56,7.817478302349581e+17
2.107527509128102e+22,9.51558186028922e+31,8.296576888078903e+26,8.760075482840795e+17,3.086101938039698e+24,4.876628654910373e+33,3.579027139283514e+23,3.224487014176353e+24,556286745486967.2,1.998337885278376e+33,1.4473640161428912e+25,5.349178171248925e+23,5.551773777295502e+20,4.919995421334208e+20,5.587046364589004e+24,2.6303092150031113e+20,3.7172301124551023e+31,5.214031491571236e+24,3.8578529179929466e+17,2.8818995757550734e+38,10695144162.194693,5.606867775978492e+36,6.077107851755376e+23,1.985878127745156e+22,2.9997007301895814e+22,9.576885022607837e+23,4.2516925338656995e+29,2.317671574271819e+21,1301806378.5836492,76814703767657.88
38051954156666.3,3.121874304324817e+27,4.331385332031786e+22,226620664409.38846,4.151759490859859e+21,1.7392894551686883e+19,3.579027139283514e+23,2.310875858502357e+20,-107963575383.51408,1.542470734094349e+29,7.427754304791912e+24,6.20003268106515e+16,9394928055493644.0,3.9344884451535074e+20,7.0438816167518724e+19,2.6303092150031113e+20,4.539823680937926e+25,3.019905254447628e+22,3.8578529179929466e+17,3.613348366978927e+36,10695144162.194693,5.6725359976612474e+29,1.9435758603763285e+21,212760735936159.38,3.6385330550108704e+17,9.576885022607837e+23,5.0576909037263887e+26,3830701628146831.5,-145246979679.34927,339780179.1878474
-163685811739.57336,1.3095296106897158e+23,1.4912370945961925e+20,-815268834782.0616,5.694885731223466e+17,1.7392894551686883e+19,-131767805802.43417,4.665049341801945e+16,-107963575383.51408,7.989750068434986e+27,2.0534864579925272e+21,97247811314416.52,-259003964551.96353,6.125859266789056e+16,5.6926382940958024e+16,3.508538623945311e+18,6.657934667822786e+22,1175312408901.0151,3.8578529179929466e+17,3.299997278983147e+31,-350952717977.38916,1.502430346066679e+23,1.4818814769374752e+17,212760735936159.38,3.0570686829752516e+16,2788636633155056.0,1.4641332997330444e+25,437771476497.3481,-404345250531.3041,-379557249771.19666
