trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30
1.7819071996782e+59,1.0537864007912508e+57,6.847823727074462e+63,2.988798097928462e+57,1.368198342820896e+60,4.7656613392988594e+55,1.1570418276977362e+56,4.355268019360137e+62,9.069482326194813e+55,1.4462176332972466e+57,5.303129540656052e+57,7.558923005778527e+59,1.0700939123832326e+51,2.415222336477899e+52,1.1186263415656093e+58,1.3032748052818725e+58,2.7068889877667966e+57,7.718267277898305e+62,6.369682879380756e+58,3.779156279048094e+57,6.853208044650665e+59,4.792954847943836e+60,7.587739047416039e+53,9.486302280354112e+56,2.607352502491316e+60,2.383636187459704e+53,1.086052978431069e+60,1.248615781580303e+58,9.846843827416952e+55,1.7271664479107077e+51
1.1435524756554028e+53,1.7557217243063302e+50,2.4875542496784844e+57,4.0511960583884115e+48,5.202334375902021e+54,1.1005909860748762e+44,1.1570418276977362e+56,1.203052480416385e+56,4.32546048975008e+52,1.0241481776822748e+49,1.5966354837234185e+54,7.464783899672982e+48,2.4023002964691057e+49,9.16855561500129e+50,5.7135201092532126e+54,1.5640490214818598e+54,2.3988722392194425e+50,2.1096323414549478e+60,3.609601474459877e+55,1.2812969952377702e+51,6.868245592183496e+55,9.897960222608421e+54,4.7729516063633956e+53,2.512460645238597e+53,1.919085003776226e+54,4.528811151132787e+49,4.785613838436384e+53,1.8927169276908116e+56,2.4409243761256716e+46,1.4276488663668347e+51
4.156916347533671e+50,1.1886217710490954e+50,1.6682882065802208e+47,2.655751645790039e+46,1.851581923118426e+46,1.2553862836992233e+42,1.3159934297060782e+51,2.3742453521611462e+47,1.280779339606114e+47,3.4346998924510145e+47,4.2973350470943e+50,1.5797878337223976e+47,5.263253119807183e+44,3.601038523999203e+41,5.349251855322635e+52,4.5634291062215277e+46,2.1880311981785547e+47,1.1198568099562954e+57,1.8378795471033688e+53,1.9276221829023626e+48,2.502823866758948e+48,1.5823416486809518e+48,9.513165275119744e+49,1.8188930636805339e+47,1.265376291352968e+52,9.865938518774083e+46,4.05004445285289e+50,1.828662841706634e+50,1.465748678729998e+43,2.3231878524528185e+47
4.4856053377510193e+45,7.636324141569018e+41,1.6682882065802208e+47,2.7663262780815686e+42,1.851581923118426e+46,1.098546380385493e+40,4.736703070693847e+48,3.703443073567716e+38,1.8316141369057374e+45,1.125992924747133e+34,1.6281918258953814e+44,1.2169415598743905e+46,2.981274433677396e+41,3.380505462247199e+39,1.407181249921544e+48,2.0875656892942138e+42,2.6540381613532676e+45,2.1173619479587063e+51,2.8777858006146993e+50,7.619287362990393e+37,1.5793067207993287e+46,4.3194169600515303e+42,5.621910718929596e+42,8.785643499482936e+42,2.8323982077142845e+44,3.6800683370410147e+42,4.692471679470147e+45,1.5565378538229484e+45,2.7357565293646156e+38,7.107624352788053e+40
9.030839240698478e+35,1.092143657132334e+34,1.1492867949722296e+43,2.702036385075138e+40,7.056973060342154e+44,1.6965129289040444e+37,1.5831708322681775e+47,8.670806769881325e+35,1.3314355417971726e+43,1.125992924747133e+34,3.212897173873858e+42,2.130134034741353e+41,6.54013146660325e+39,6.953854392388601e+33,1.3835047365181614e+44,3.410236588780947e+37,5.886388394072796e+39,7.786751548849515e+44,3.1606199659754196e+43,4.960804066318651e+36,1.867716059879148e+39,5.313587776754614e+38,1.2738415320373582e+40,1.014299762737217e+41,2.532764477132803e+40,2.2373179342896695e+42,1.2254384122982816e+41,3.7955904530403034e+40,1.6941066222341217e+38,1.623639523265456e+37
2.5662539871142373e+24,8.479735165816342e+31,7.409805569372711e+37,2.051590572473145e+38,1.0881695488022184e+41,5.75056296868303e+35,1.646635385295256e+39,2.1351596371455208e+30,2.885590756918962e+42,1.9933376992967352e+33,3.223031340490033e+33,1.1524020132959612e+39,1.250298952103662e+38,6.953854392388601e+33,4.7152900738304e+39,3.9331696246719833e+31,1.0146043541333711e+38,3.8788956650547853e+42,1.8615298023298547e+42,4.6647725710693205e+33,1.3440382601367708e+39,1.2100515784801428e+33,1.932074224415598e+37,8.964322299392135e+39,5.963173038859982e+35,3.2715939911461597e+38,8.139891934353063e+33,1.4279134206284902e+36,4.6103864752115654e+32,1.623639523265456e+37
1.5070492496389382e+23,1.3692344704902845e+31,3.566228948101592e+29,5.992605037036621e+33,1.797544782092485e+34,1.06923578738843e+32,8.816101899150805e+31,2.1351596371455208e+30,1.3485097620569984e+42,6.6327211253300424e+16,3.955013576357102e+31,7.164627638715901e+30,2.190445054434421e+33,9.755135790314661e+30,1.0764056480267741e+36,8.004660218035343e+27,1.5647941799080327e+37,3.247550088887606e+40,2.387698152480243e+37,1.0326473001211879e+30,1.2035427879182548e+35,1.4751140719054585e+24,2.604518867176641e+31,2.6409467337649165e+36,1.5819538538743163e+35,1.63022594861598e+36,8.879701596691928e+32,1.1856300235031855e+33,3.2435682621602304e+25,1.0084107968204438e+35
2.0631857441329252e+16,3.2485504004804254e+25,2.945309045825221e+26,2.0520737037079194e+33,1.7832082289899808e+32,1.0401014676318914e+30,4.052104697409713e+28,1.2097098694216776e+28,5.1442544830329675e+37,6.6327211253300424e+16,7.324806700768385e+25,1.2587716641976102e+23,4.9069893594807095e+29,1.7998797520960816e+27,6.972551845145092e+25,4.109827675672356e+24,1.5539101747349925e+36,1.9056998003224448e+40,2.8881515286854817e+36,5.950692502525641e+25,1.2035427879182548e+35,2.6444863385585446e+23,2.604518867176641e+31,4.6350885403904104e+33,2.2773091820004446e+34,1.4008426386213966e+25,1.942248807683369e+28,3.892800912311489e+26,3.867992936290535e+23,1.6598288821652035e+32
2874529013410038.5,1.136575988405644e+20,3.3772421891169423e+24,7.974046880708201e+30,5.7256013334786675e+25,1.3987228742217713e+29,3.262153568530297e+20,9600688732187280.0,2.0505239549450546e+35,38105654199.83335,1909993539383097.2,1.769968217272e+17,2.2036334914535892e+27,5.138937413685973e+21,9.424049063687477e+22,1.383596729796632e+21,3.1295436647581365e+33,4.508583192707703e+36,5.20852263607104e+26,1.2586166264273035e+20,2.71561131585294e+31,3.1495488676616104e+20,1.967337455160363e+27,2.939808012612269e+30,1.7254211365323493e+31,1.8335193633444685e+23,1.6225966355837182e+25,5.304893112146074e+17,9.169720412751185e+20,1.3356742239347018e+27
393745035213.8128,6.0674102372836104e+16,9.180426569337525e+23,2.831006253447612e+28,2.030405906011426e+25,2.7401735670069595e+28,1.5953621450900016e+17,36599843738447.58,9.719821927943337e+34,-164562872723.26718,1909993539383097.2,165086142678088.25,1.019183640365011e+18,1058832573577.6967,1.227297429758823e+21,1.3050655556982086e+16,5.819124523358072e+30,2.4975327640891814e+28,5.20852263607104e+26,1.6387267538743224e+16,2.5984822191255617e+29,2.3692603001379472e+17,1.2181427655783304e+24,2.939808012612269e+30,3.4087718836213575e+30,8.663380332484832e+19,3.2541136581228732e+19,1.1085851057567108e+16,8556380958095.978,3.922376352027766e+20
-306172191925.9596,130353943185609.53,5.3419419416101146e+20,2.9348199988616187e+27,3.9608829901269427e+21,6.023082941865469e+26,175821428167446.0,36599843738447.58,1.0161145282097005e+28,-676820981532.1549,497768113374.3722,233775813975.2116,4448399729996821.5,1058832573577.6967,3.0607653173173345e+18,67502185903743.11,1.8949386808002853e+27,1.7621505412607138e+25,2.5253927101325868e+26,12651329173315.514,3.9385328558960375e+27,638197975735664.4,2.6385836198166022e+17,1.191400767070155e+26,2.3604047444431406e+29,3.4268781095430064e+16,2.1606949142038198e+17,3971187544217.57,8556380958095.978,123199206636.31381
