trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30
8.747583129914109e+50,2.691268153695792e+54,3.6228270253618054e+58,5.754164744472341e+56,1.289086545801276e+59,2.1845931675396412e+60,1.1426537790464133e+55,4.989700706546679e+57,2.9977139846537183e+57,5.187169630845249e+59,2.5490394447258742e+57,1.347837177939606e+53,2.4292286119806237e+51,4.336882779416323e+55,6.280183871740984e+55,5.552780480678204e+58,4.744063556843985e+50,8.105907065684805e+54,3.161825373009036e+53,2.6954775043928095e+58,9.524125853755035e+63,1.474020631620972e+59,1.7375189964962e+53,1.4916346132735062e+54,4.970987749412588e+56,1.7748617341366272e+55,1.0675014479526265e+54,2.4436685377417966e+64,2.7284752509747826e+54,3.5103089485733907e+59
1.8155096299634084e+45,1.4012082233613415e+50,7.758468603219661e+56,9.202629747387189e+44,6.882970049564379e+56,4.185022038430176e+52,3.953147461736504e+52,3.9544686485637974e+54,5.221545233125458e+52,1.499890384322753e+56,1.2449566285764968e+50,2.7820784459451987e+46,8.969178684266834e+49,1.1003152647692815e+48,3.503392208608372e+50,8.116613657155361e+53,5.943899343442985e+49,4.2399630747334553e+52,1.8603762142009504e+50,7.770652488472997e+53,1.797250159327588e+60,1.9549627016575296e+55,2.089889810717739e+50,4.695654569203417e+49,2.9044242071832e+50,1.7748617341366272e+55,1.651307122154701e+50,7.395479626486464e+55,3.323578498230591e+47,6.0464318139985835e+54
1.2290521073406162e+44,1.4461239305597944e+47,1.8157034545322688e+50,1.6117145998514525e+44,3.468374469748531e+55,5.064023620437472e+50,1.8871357527265047e+45,1.1096036770766378e+52,5.146935786873328e+50,5.978791104452132e+52,3.0903180794770518e+47,8.803649114543568e+41,2.544414749896548e+46,2.465267615981307e+43,6.017844189737194e+44,3.292058182557891e+48,1.7429898958246566e+47,9.323659358422627e+49,6.194101625880784e+46,2.2661741637551715e+48,8.790283292348483e+58,1.177591195676023e+51,1.2454865811273535e+48,4.653967325425042e+43,1.0083124040211044e+45,2.734835957024561e+45,4.051491354441863e+44,1.3874700058425434e+51,2.5455482878405996e+40,1.635996873625705e+48
1.076842734759894e+38,1.228815938137119e+45,6.568512192362671e+46,5.494365342149619e+42,2.654538105730892e+51,1.0379417662294977e+39,1.8871357527265047e+45,1.328662268740143e+50,5.801081133638805e+43,5.30687156802081e+51,9.695032244342636e+41,7.583478876379382e+35,1.5348298381106703e+43,1.0226460208641179e+43,1.7818323821250727e+41,3.670595891172308e+46,5.862187644452044e+43,3.197663774421337e+46,1.4346540605101847e+44,1.518041690618449e+46,3.882749779959777e+52,5.364310357756876e+49,4.765288191399549e+44,2.5752990401321343e+43,3.6512200859897625e+43,4.093961330108873e+39,3.44059977111023e+40,1.3874700058425434e+51,1.999733236054769e+38,3.139592555372413e+42
3.9548535928644944e+34,5.065283785132059e+42,4.627360494517544e+43,2.3533016979115465e+37,2.7109265031257053e+47,2.6606822569936527e+38,1.0065894939748008e+40,1.5140177704883656e+42,4.1657115401891546e+37,1.3234000114347086e+48,2.7266052977539165e+41,2.2357144976400947e+35,3.883784900179918e+34,1.1299555661031068e+41,1.7818323821250727e+41,2.668654109551222e+45,3.1164722636172704e+39,2.2848676856966122e+41,6.656801003156515e+38,9.493874190019172e+40,7.253032605401708e+40,4.188186513541382e+47,6.817199288785711e+39,2.3529182930455933e+38,5.657736147864881e+35,3.5461853193501114e+33,7.616787401444246e+32,1.9795534341228059e+46,1.4559069830460386e+34,3.0581666694564154e+41
5.282041133192041e+32,2.0053187321193707e+38,3.0659368156483745e+39,3.3427556236569667e+31,2.330081271602757e+44,3.770224409582133e+36,3.819114718481046e+34,1.512428939862031e+39,5.282985200527405e+34,3.7200514022975314e+44,1.674853090457152e+37,8.480247362084373e+32,1.726377884849489e+34,3.262008435941196e+36,5.597039696953321e+32,1.2382211804606512e+39,4.593294318431951e+35,2.1848130933587665e+39,1.2481068997151047e+28,4.348884766637352e+40,3.626524782090593e+35,3.221087960646284e+46,1.0228823363180113e+34,1.5545661425514494e+35,5.657736147864881e+35,3.5461853193501114e+33,9.33799649722627e+28,3.338369062794313e+42,3.469761783517856e+33,7.060113951762056e+40
2.7998810981142123e+31,9.655984799801263e+33,3.0659368156483745e+39,2.4047662106937943e+28,8.913032320720224e+39,1.920127429792118e+34,5.296140994671049e+31,6.855434197941558e+35,717753272169182.2,1.3696560849077418e+42,2.865608873116062e+35,1.0316419307935877e+26,1.3067833323311625e+27,6.855001395217975e+31,4.544160073412028e+31,1.8660856795204284e+29,6.681074202218173e+25,4.611202522299337e+34,1.827579333347869e+23,2.1403189897618916e+34,8.473165371632514e+34,1.3625971017331908e+44,4.1591857131381467e+30,3.6344391191744073e+28,3.4081270981535926e+30,2.9424305430747935e+33,1.631370270112963e+27,5.2517478025470875e+38,2.4301068463223842e+30,5.263374624010952e+37
8.9622028648131e+29,9.655984799801263e+33,3.625297714905964e+34,9.027259022903814e+26,2.7345452492130335e+38,5.967482450152558e+30,4.7682606793072504e+24,1.4123498157270232e+35,405654079978379.0,1.156633922081161e+39,1.0283791454961885e+34,2.357870546465361e+23,2.2227093082206657e+25,8.867082995580819e+27,1.3952200595389948e+30,1.1225492789245543e+25,2.7325694813105117e+23,9.766689861293031e+25,18768192003949.37,1.3454155318122109e+31,6.113891900344845e+33,3.533052704746874e+33,1.9191868639506906e+27,1.4033045065830086e+28,6.495520926957391e+28,1.5117295862201198e+31,2.0485908934076234e+21,6.706401605981573e+36,1.8061096591912093e+27,1.6956369485046318e+28
1.1585311712993452e+28,1.2364086250695069e+23,1.0267132125370608e+32,2.932169211526614e+24,2.7469801558853204e+30,6.265008994740577e+27,7742272063329550.0,5.395273127331062e+30,798212024733.3981,2.114000340577526e+36,1.111809199270859e+29,2.4284792753912284e+18,1.427455792652844e+20,1.9908521798655535e+20,1.0909901662837344e+23,1.2266946246510364e+20,7.842930280200768e+20,6.395551559344698e+16,-367918763302.3774,1.4987417899224562e+27,2.5653733953784046e+19,3.533052704746874e+33,1.4588328004424953e+20,5.091346993275556e+21,3.892867162579527e+25,1.093432551936615e+25,8.505885987284637e+20,1.1215683068807437e+32,2.5762985047141267e+25,1.6956369485046318e+28
1.129661936531198e+25,102688718263341.1,7.857572052160866e+28,5.092453476677763e+20,2.55145192999786e+27,2.563125309299383e+27,7742272063329550.0,2.0686986626164339e+27,-28698262724.86378,5.584653399753389e+35,1.5194400528158502e+27,3061768320778483.0,1.427455792652844e+20,6.649343436127636e+18,2.6375415790820267e+21,1.1552592135552868e+19,177155311287003.25,4.792006037134948e+16,-562016435171.5475,4.482798729859598e+24,2.5653733953784046e+19,1.1259267605566513e+26,4.6259376470990054e+17,1.6488769151173373e+21,1.6003809357440027e+21,1.093432551936615e+25,2.781115922949898e+19,7.976822821536177e+30,4.322501609896604e+23,3.524602901964023e+24
3.063384885610237e+21,-285391634346.522,4.454803028800797e+22,4.304761716831521e+19,1.0143206818687327e+22,2.755114118212472e+24,-65220852747.52015,3.515325736376158e+19,-30349623161.885483,2.462843432735112e+30,1443482519021555.2,22806079220027.777,8.351450491190071e+18,2411282586918.669,6.103573255952698e+20,8.871367967582018e+16,177155311287003.25,162545440672.52982,-716148525532.3944,6.376701500171194e+22,1.4254451630325612e+16,3.288083966872508e+23,105195468123135.61,2.4649197613593875e+17,6.738839372074402e+18,2.6493637375372538e+19,3.5420596566732416e+17,1.6109740500818515e+25,4.605678386166183e+20,68106754205162.195
1.7423367063676103e+19,-285391634346.522,1.8515552894144596e+16,7496295640178454.0,1.3661134403510083e+18,2.5897946770531205e+18,-313719122042.7453,12341645485302.441,-111893347263.5811,1.3160657667241878e+30,-44152442575.40675,148165780208.40897,5644300793683033.0,-595630410871.4672,699874386958020.8,89598913095.33748,456646157438.294,162545440672.52982,-961461202586.4701,4.062238156008418e+19,105484583411.91357,1.525499862691913e+20,561228663201.8318,12706898237088.498,3.270097716855838e+17,6.205539752307871e+17,839246732434929.4,4.683757823643111e+22,2.852417384016183e+19,68106754205162.195
-115590736072.82994,-581510067611.8481,371286223909.7524,2226168670923.7246,2.0233756654447306e+17,1.5856225691577046e+17,-514250209185.8228,12341645485302.441,-688884058351.5544,1.6731963820800544e+29,-543475776638.47345,-5373927853.989643,1741352061594613.0,-782177362302.9077,543848496724.9342,23967124514.62823,-275635296546.2368,162545440672.52982,-968357948539.728,2.618589949150765e+18,-140880853117.6194,274005185499544.6,-300022595612.07495,-14497515056.992672,7611503417011053.0,-94267641109.68935,17351054153.73575,4.4946136939448845e+17,1.5578188389562542e+18,81374422987.83636
-115590736072.82994,-624846976135.3308,-51425459053.44968,-468279497184.79767,379368008171408.06,39062374668749.695,-735591194713.3175,-51015967294.7221,-688884058351.5544,6.50581988487518e+23,-827046497435.7317,-67225562192.57592,2324950868607.8926,-946641806236.1173,543848496724.9342,-291024052474.57837,-494263055483.72546,-214736423751.33746,-1016658816436.4769,720021041785881.8,-422357159453.588,-234673886686.00366,-782721616826.6012,-645041659556.5037,-311252409608.7616,-369032758426.1317,-230233867592.3794,6.62693917301335e+16,2225945989019.7915,-11949714471.463507
-556358724220.5133,-957308139160.2402,-136466934747.50269,-998437780958.2292,-476500787183.51245,-43955687093.708954,-828612950621.3444,-525007810720.4766,-782546071154.1293,1.1238774660346632e+21,-970694405359.5626,-308433851302.76764,-178250917292.34158,-1007160005350.2823,-636957411701.8845,-610509570687.56,-609975235766.1971,-741871597777.1802,-1068587120684.8148,1086445429655.9065,-765485693661.6625,-503460906352.6206,-920849348969.8851,-851734120691.8038,-311252409608.7616,-557260318944.5319,-593844675788.0248,1.3470629386512554e+16,-448831673894.4198,-432222508050.1988
